Italy,487,(2.8),94,(1.8),327,(5.5),363,(4.7),423,(3.1),490,(3.5),552,(3.3),605,(3.9),635,(4.9),,,
Japan,527,(2.5),86,(1.6),380,(4.3),413,(3.9),468,(3.1),530,(2.9),589,(2.8),637,(3.8),664,(4.5),,,
Korea,526,(3.1),100,(2.0),354,(5.0),393,(4.4),460,(3.8),530,(3.4),596,(3.6),651,(4.6),684,(5.9),,,
Latvia,496,(2.0),80,(1.1),363,(4.1),393,(3.2),441,(2.4),497,(2.4),551,(2.5),599,(3.1),628,(3.4),,,
Lithuania,481,(2.0),91,(1.1),330,(4.1),362,(3.6),418,(2.8),483,(2.3),545,(2.2),598,(2.8),630,(3.2),,,
Luxembourg,483,(1.1),98,(1.3),321,(3.4),353,(2.9),413,(2.1),485,(2.0),555,(2.0),611,(2.4),641,(2.9),,,
Mexico,409,(2.5),78,(1.6),284,(3.8),311,(3.6),356,(2.7),408,(2.7),461,(3.1),510,(3.6),539,(4.5),,,
Netherlands*,519,(2.6),93,(1.8),362,(5.0),394,(4.8),453,(4.0),524,(3.0),588,(2.7),638,(3.6),664,(3.7),,,
New Zealand,494,(1.7),93,(1.1),339,(3.7),372,(3.0),430,(2.5),496,(2.3),560,(2.2),614,(2.2),645,(3.7),,,
Norway,501,(2.2),90,(1.3),345,(4.1),381,(3.9),441,(2.9),504,(2.8),565,(2.4),617,(3.1),645,(4.4),,,
Poland,516,(2.6),90,(1.7),366,(4.7),398,(3.8),455,(2.9),517,(2.8),578,(3.1),631,(4.2),661,(4.7),,,
Portugal*,492,(2.7),96,(1.3),327,(5.2),362,(3.8),426,(3.6),497,(3.2),562,(3.0),614,(3.6),643,(4.5),,,
Slovak Republic,486,(2.6),100,(1.7),315,(6.0),353,(5.4),420,(4.1),492,(3.0),556,(2.7),610,(3.1),640,(3.7),,,
Slovenia,509,(1.4),89,(1.4),360,(5.3),392,(3.0),448,(2.3),511,(1.8),571,(2.3),622,(2.8),652,(3.4),,,
Spain**,481,(1.5),88,(1.0),331,(2.8),365,(2.4),421,(1.8),484,(1.6),544,(1.8),593,(2.2),621,(2.4),,,
Sweden,502,(2.7),91,(1.4),348,(5.7),383,(4.6),441,(3.7),505,(3.2),567,(2.9),618,(3.3),647,(3.8),,,
Switzerland,515,(2.9),94,(1.4),360,(4.4),391,(3.5),448,(3.8),518,(3.7),582,(3.4),636,(4.3),668,(4.8),,,
Turkey,454,(2.3),88,(1.8),314,(4.3),343,(3.8),392,(3.2),450,(2.4),512,(2.7),571,(4.0),605,(5.3),,,
United Kingdom,502,(2.6),93,(1.4),346,(4.1),381,(4.0),439,(2.9),504,(2.7),567,(3.0),620,(3.3),651,(4.2),,,
United States*,478,(3.2),92,(1.5),326,(5.0),357,(4.6),414,(4.0),479,(3.8),543,(3.9),598,(4.3),629,(4.6),,,
OECD average,489,(0.4),91,(0.2),337,(0.7),370,(0.6),427,(0.5),492,(0.5),553,(0.5),605,(0.6),634,(0.7),,,
OECD total,478,(1.0),97,(0.5),318,(1.7),350,(1.5),409,(1.3),478,(1.2),547,(1.2),604,(1.3),636,(1.5),,,
Partners,,,,,,,,,,,,,,,,,,,,,
Albania,437,(2.4),83,(1.3),303,(3.6),332,(3.1),381,(2.9),436,(3.0),493,(2.8),544,(3.5),575,(3.8),,,
Argentina,379,(2.8),84,(1.7),243,(4.6),272,(4.1),322,(3.6),378,(3.1),436,(3.5),489,(3.8),520,(4.0),,,
Baku (Azerbaijan),420,(2.8),89,(1.7),276,(3.8),306,(3.4),359,(2.9),418,(3.1),480,(3.8),535,(5.0),570,(5.4),,,
Belarus,472,(2.7),93,(1.4),318,(5.0),351,(3.4),407,(3.1),473,(3.0),537,(3.2),592,(3.5),623,(4.1),,,
Bosnia and Herzegovina,406,(3.1),82,(1.3),276,(4.1),303,(3.2),349,(3.2),404,(3.5),462,(3.7),514,(4.4),545,(4.3),,,
Brazil,384,(2.0),88,(1.6),251,(3.1),277,(2.5),322,(2.3),377,(2.4),440,(2.8),501,(3.9),538,(4.9),,,
Brunei Darussalam,430,(1.2),91,(1.0),287,(3.4),316,(2.4),365,(2.0),425,(1.6),492,(2.0),555,(2.2),588,(3.4),,,
B-S-J-Z (China),591,(2.5),80,(1.8),452,(5.2),486,(4.2),540,(3.0),596,(2.7),647,(3.0),691,(3.2),716,(3.6),,,
Bulgaria,436,(3.8),97,(2.1),280,(6.1),311,(4.6),368,(4.6),434,(4.2),503,(4.1),563,(5.7),599,(6.8),,,
Costa Rica,402,(3.3),75,(2.0),282,(4.2),308,(3.4),352,(2.7),401,(3.3),452,(4.2),499,(5.5),528,(7.0),,,
Croatia,464,(2.5),87,(1.7),323,(4.6),354,(3.9),405,(3.0),463,(2.9),523,(3.1),577,(3.9),608,(4.2),,,
Cyprus,451,(1.4),95,(1.1),292,(3.5),325,(2.8),385,(2.5),454,(1.9),517,(2.1),571,(2.4),601,(3.4),,,
Dominican Republic,325,(2.6),71,(2.0),214,(3.2),236,(2.7),276,(2.7),322,(2.9),370,(3.2),417,(4.8),449,(6.6),,,
Georgia,398,(2.6),88,(1.6),257,(3.9),286,(3.5),336,(2.9),394,(2.8),457,(3.7),515,(4.4),548,(6.0),,,
Hong Kong (China)*,551,(3.0),94,(1.9),387,(6.2),426,(5.4),490,(4.2),557,(3.1),617,(2.8),667,(3.5),696,(4.5),,,
Indonesia,379,(3.1),79,(2.2),255,(4.3),281,(3.9),325,(3.2),376,(3.1),427,(3.7),480,(5.9),517,(8.7),,,
Jordan,400,(3.3),85,(1.7),259,(4.6),291,(4.2),343,(3.4),400,(3.4),458,(3.9),508,(4.3),539,(5.2),,,
Kazakhstan,423,(1.9),87,(1.1),282,(3.2),314,(2.4),365,(2.2),422,(2.0),480,(2.2),535,(3.0),568,(3.1),,,
Kosovo,366,(1.5),77,(1.3),243,(3.7),269,(2.7),313,(2.1),364,(1.8),416,(2.3),465,(3.3),497,(4.0),,,
Lebanon,393,(4.0),106,(1.6),224,(5.2),256,(4.8),317,(5.1),391,(5.0),469,(5.0),533,(4.7),569,(4.7),,,
Macao (China),558,(1.5),81,(1.5),420,(4.1),452,(3.6),505,(2.3),561,(2.3),613,(2.2),659,(2.6),685,(3.4),,,
Malaysia,440,(2.9),83,(1.7),307,(3.6),335,(3.0),383,(3.1),438,(3.0),496,(3.9),550,(4.8),580,(5.9),,,
Malta,472,(1.9),102,(1.4),297,(4.4),334,(3.4),401,(3.6),478,(2.7),545,(2.7),599,(3.5),630,(4.8),,,
Moldova,421,(2.4),94,(1.7),268,(3.8),300,(3.1),354,(2.6),419,(2.7),486,(3.2),543,(4.4),578,(5.7),,,
Montenegro,430,(1.2),83,(1.0),295,(2.8),324,(2.2),371,(1.9),429,(1.7),487,(1.6),538,(2.1),569,(3.1),,,
Morocco,368,(3.3),76,(1.5),249,(3.5),273,(3.2),314,(3.3),363,(3.6),418,(4.4),469,(4.4),499,(5.0),,,
North Macedonia,394,(1.6),93,(1.2),243,(3.9),275,(2.9),330,(2.1),394,(2.4),458,(2.2),516,(3.5),550,(4.4),,,
Panama,353,(2.7),77,(2.1),228,(5.0),255,(3.9),300,(2.9),351,(2.7),403,(3.6),454,(5.5),485,(6.3),,,
Peru,400,(2.6),84,(1.5),266,(3.4),293,(3.1),341,(2.9),397,(2.9),456,(3.5),511,(4.1),544,(5.1),,,
Philippines,353,(3.5),78,(2.0),229,(4.2),255,(3.7),299,(3.2),349,(3.4),403,(4.5),456,(6.0),488,(7.4),,,
Qatar,414,(1.2),98,(0.9),259,(2.8),290,(2.2),345,(1.6),411,(1.8),481,(1.6),544,(2.1),582,(2.5),,,
Romania,430,(4.9),94,(2.1),277,(5.7),310,(5.4),365,(4.7),428,(5.7),495,(6.1),554,(6.9),588,(7.2),,,
Russia,488,(3.0),86,(1.9),344,(5.5),376,(4.3),430,(4.0),489,(3.1),547,(3.3),597,(3.9),627,(4.2),,,
Saudi Arabia,373,(3.0),79,(1.6),246,(4.6),273,(4.3),319,(3.4),372,(3.3),426,(3.6),475,(3.6),505,(4.1),,,
Serbia,448,(3.2),97,(1.7),293,(5.3),324,(4.3),380,(3.9),446,(3.8),516,(3.8),576,(3.9),609,(3.9),,,
Singapore,569,(1.6),94,(1.2),401,(3.4),441,(2.9),508,(2.4),576,(2.0),636,(2.1),684,(2.7),713,(3.0),,,
Chinese Taipei,531,(2.9),100,(1.7),358,(4.6),397,(3.9),466,(3.8),537,(3.1),601,(3.5),656,(4.4),686,(5.3),,,
Thailand,419,(3.4),88,(1.8),282,(4.8),310,(3.6),358,(3.3),414,(3.7),475,(4.3),535,(5.8),572,(6.1),,,
Ukraine,453,(3.6),94,(1.9),297,(5.2),331,(4.4),390,(4.2),454,(4.1),517,(4.1),573,(5.0),607,(5.7),,,
United Arab Emirates,435,(2.1),106,(1.2),265,(3.9),299,(3.2),360,(2.8),433,(2.7),509,(2.6),574,(2.4),611,(3.2),,,
Uruguay,418,(2.6),85,(1.7),276,(4.4),307,(3.5),359,(3.1),419,(3.4),477,(3.7),529,(3.9),558,(4.4),,,
,,,,,,,,,,,,,,,,,,,,,
Viet Nam***,496,(4.0),75,(2.0),373,(5.0),400,(5.0),445,(4.4),496,(4.1),546,(4.5),591,(5.1),619,(5.8),,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Information on data for Cyprus: https://oe.cd/cyprus-disclaimer,,,,,,,,,,,,,,,,,,,,,
"*Hong Kong (China), Netherlands, Portugal and United States: Data did not meet the PISA technical standards but were accepted as largely comparable (see Annexes A2 and A4).",,,,,,,,,,,,,,,,,,,,,
** See note under Table I.B1.2 for Spain.,,,,,,,,,,,,,,,,,,,,,
"***The data for Viet Nam have not yet been fully validated. Due to a lack of consistency in the response pattern of some performance data, the OECD cannot yet assure full international comparability of the results (see Annexes A4 and A6).",,,,,,,,,,,,,,,,,,,,,
